Time - Measured (m/s^2),Amplitude - Measured (m/s^2)
0,0
0,1.20E-05
0,2.39E-05
0,3.58E-05
0,4.17E-05
0,5.36E-05
0,6.55E-05
0,7.73E-05
0,8.91E-05
0,0.000100887
0,0.000112648
0,0.000124386
0,0.000142081
0,0.000147778
0,0.000165427
0,0.000177059
0,0.000188668
0,0.000212216
0,0.000217773
0,0.000229301
0,0.000246787
0,0.000258256
0,0.000275684
0,0.000287095
0,0.000286521
0,0.000279966
0,0.000291369
0,0.000308731
0,0.000314095
0,0.000277578
0,0.000300949
0,0.000378106
0,0.000341461
0,0.000406574
0,0.000399779
0,0.000404961
0,0.000446021
0,0.000403259
0,0.000420397
0,0.0004375
0,0.000502421
0,0.000519361
0,0.000482433
0,0.00048745
0,0.000498438
0,0.000509404
0,0.000520348
0,0.000525289
0,0.000542183
0,0.000559043
0,0.000569887
0,0.000580711
0,0.000597493
0,0.000572373
0,0.000595154
0,0.000552093
0,0.000556971
0,0.000597727
0,0.000596531
0,0.000619264
0,0.000629988
0,0.00063471
0,0.000645403
0,0.000608224
0,0.000630933
0,0.000647616
0,0.000670246
0,0.000674887
0,0.000691482
0,0.00065421
0,0.000682809
0,0.000705369
0,0.000721903
0,0.000774292
0,0.000778725
0,0.00078913
0,0.000799515
0,0.000809879
0,0.00081424
0,0.000830556
0,0.000846839
0,0.000857109
0,0.000873339
0,0.000883555
0,0.000899732
0,0.000909896
0,0.000914057
0,0.000924192
0,0.000928325
0,0.000944413
0,0.000954487
0,0.000970522
0,0.000986525
0,0.0010025
0,0.00101844
0,0.00103434
0,0.00104424
0,0.00106009
0,0.00106994
0,0.00107976
0,0.00108956
0,0.00106346
0,0.00107928
0,0.00108908
0,0.00109886
0,0.00110863
0,0.00111838
0,0.0011281
0,0.00113183
0,0.00114153
0,0.00114522
0,0.00114892
0,0.00116456
0,0.00118616
0,0.00120173
0,0.00121727
0,0.0012268
0,0.00124229
0,0.00125177
0,0.00126123
0,0.00127067
0,0.00128009
0,0.00129547
0,0.00131083
0,0.00132615
0,0.00134742
0,0.00135669
0,0.00136594
0,0.00137517
0,0.00138438
0,0.00139358
0,0.00139677
0,0.00140594
0,0.00142107
0,0.00142421
0,0.00143931
0,0.00146036
0,0.0014694
0,0.00149039
0,0.00149339
0,0.00149638
0,0.00151133
0,0.00152027
0,0.0015292
0,0.0015381
0,0.00153502
0,0.0015499
0,0.00152287
0,0.00152581
0,0.0015407
0,0.00153762
0,0.00155249
0,0.00156733
0,0.00157616
0,0.001573
0,0.00158182
0,0.0015966
0,0.00160537
0,0.00162011
0,0.00161686
0,0.00162559
0,0.00162832
0,0.00163105
0,0.00163975
0,0.00164843
0,0.00166308
0,0.00166574
0,0.00167437
0,0.00168298
0,0.00169756
0,0.00170015
0,0.00171469
0,0.00171724
0,0.00172577
0,0.00174026
0,0.00174276
0,0.00175124
0,0.00176568
0,0.00177412
0,0.00178851
0,0.0017969
0,0.00180527
0,0.0018196
0,0.00183391
0,0.00183622
0,0.00185049
0,0.00185875
0,0.001867
0,0.00187523
0,0.00188344
0,0.00189164
0,0.0019058
0,0.00191395
0,0.00192806
0,0.00193617
0,0.00194426
0,0.00194635
0,0.00196041
0,0.00196845
0,0.00198246
0,0.00199644
0,0.00201039
0,0.00201833
0,0.00202625
0,0.00203417
0,0.00204206
0,0.00204396
0,0.00205183
0,0.00205969
0,0.00206753
0,0.00206938
0,0.00207721
0,0.002091
0,0.00209878
0,0.00211252
0,0.00212026
0,0.00213396
0,0.00214166
0,0.00215532
0,0.00216297
0,0.00217061
0,0.00218421
0,0.00221573
0,0.00222326
0,0.00223676
0,0.00224425
0,0.00225173
0,0.00225919
0,0.00225467
0,0.0022681
0,0.00227553
0,0.00228294
0,0.00229034
0,0.00229772
0,0.00231107
0,0.00231841
0,0.00232574
0,0.00232707
0,0.00234036
0,0.00235362
0,0.00236088
0,0.00236812
0,0.00237534
0,0.00238854
0,0.00240769
0,0.00241483
0,0.00243991
0,0.00244101
0,0.00244809
0,0.00244918
0,0.00245624
1,0.00246329
1,0.00247033
1,0.00247137
1,0.00248437
1,0.00249137
1,0.00249835
1,0.00250531
1,0.00251825
1,0.00252517
1,0.00253208
1,0.00253898
1,0.00254587
1,0.00255872
1,0.00257155
1,0.00258435
1,0.00259114
1,0.00259792
1,0.00260469
1,0.00261144
1,0.00262417
1,0.00263686
1,0.00264355
1,0.00265023
1,0.00266287
1,0.00266951
1,0.00267015
1,0.00267677
1,0.00268338
1,0.00269596
1,0.00270851
1,0.00271506
1,0.00272757
1,0.00273408
1,0.00274058
1,0.00274706
1,0.00275353
1,0.00276596
1,0.00277239
1,0.00278479
1,0.00279119
1,0.00279757
1,0.00280393
1,0.00281029
1,0.00281065
1,0.00282297
1,0.00282929
1,0.00282961
1,0.00283592
1,0.00284221
1,0.00284849
1,0.00285475
1,0.00286101
1,0.00285528
1,0.00286154
1,0.00286778
1,0.002874
1,0.0028862
1,0.00289239
1,0.00289857
1,0.00291072
1,0.00292284
1,0.00292297
1,0.00293507
1,0.00294117
1,0.00295323
1,0.00296527
1,0.00298326
1,0.00299524
1,0.00300121
1,0.00300717
1,0.00301312
1,0.00301906
1,0.00302498
1,0.00303089
1,0.0030368
1,0.00304268
1,0.00304856
1,0.00305443
1,0.00306626
1,0.00307209
1,0.00308389
1,0.00309567
1,0.00310144
1,0.00311318
1,0.00311892
1,0.00312465
1,0.00313036
1,0.00313606
1,0.00314175
1,0.00314743
1,0.0031531
1,0.00316474
1,0.00317037
1,0.00317599
1,0.0031816
1,0.0031872
1,0.00319279
1,0.00319837
1,0.00320992
1,0.00322144
1,0.00323294
1,0.00323246
1,0.00323796
1,0.00324344
1,0.00324892
1,0.00325438
1,0.00325984
1,0.00326528
1,0.00327071
1,0.00327614
1,0.00328155
1,0.00329293
1,0.0032983
1,0.00330367
1,0.00330903
1,0.00331437
1,0.00332569
1,0.003331
1,0.00333032
1,0.00333562
1,0.00334091
1,0.00334619
1,0.00335744
1,0.00336269
1,0.00336793
1,0.00337316
1,0.00337837
1,0.00338956
1,0.00339474
1,0.00339394
1,0.00339313
1,0.00339233
1,0.0033975
1,0.00340865
1,0.0034138
1,0.00341893
1,0.00343004
1,0.00342916
1,0.00344025
1,0.00344533
1,0.0034504
1,0.00346145
1,0.00346649
1,0.00347152
1,0.00347654
1,0.00348155
1,0.00349253
1,0.0034975
1,0.00349051
1,0.00348951
1,0.00349449
1,0.00349947
1,0.00350443
1,0.00350939
1,0.00351433
1,0.00351926
1,0.00352419
1,0.0035291
1,0.00352803
1,0.00353293
1,0.00353783
1,0.00354272
1,0.00354161
1,0.00354649
1,0.00354538
1,0.00355624
1,0.00356109
1,0.00355994
1,0.00357077
1,0.00358755
1,0.00359234
1,0.0036031
1,0.00360188
1,0.00360664
1,0.00361737
1,0.00361611
1,0.00362084
1,0.00361958
1,0.00362431
1,0.003635
1,0.0036397
1,0.00364438
1,0.00364905
1,0.00365372
1,0.00365837
1,0.00366302
1,0.00366766
1,0.00367228
1,0.0036769
1,0.00368151
1,0.00368611
1,0.00369668
1,0.00370125
1,0.0037118
1,0.00371633
1,0.00372086
1,0.00372539
1,0.0037299
1,0.00374038
1,0.00374486
1,0.00374934
1,0.00375978
1,0.00376423
1,0.00376866
1,0.00377309
1,0.0037775
1,0.00378191
1,0.00378631
1,0.00379668
1,0.00379507
1,0.00379944
1,0.00380381
1,0.00381414
1,0.00381848
1,0.0038228
1,0.00382712
1,0.00383143
1,0.00383573
1,0.003846
1,0.00385027
1,0.00385454
1,0.00386477
1,0.003869
1,0.00387323
1,0.00387745
1,0.00388165
1,0.00388585
1,0.00389004
1,0.00389423
1,0.00390438
1,0.00390854
1,0.00391268
1,0.00391682
1,0.00392095
1,0.00392507
1,0.00392918
1,0.00393329
1,0.00394337
1,0.00395342
1,0.00396346
1,0.00396152
1,0.00397154
1,0.00397556
1,0.00398555
1,0.00398954
1,0.00399353
1,0.0039975
1,0.00400745
1,0.00400542
1,0.00400339
1,0.00400734
1,0.00401129
1,0.00401523
1,0.00402515
1,0.00402906
1,0.00403296
1,0.00404284
1,0.0040527
1,0.00405656
1,0.00406041
1,0.00406425
1,0.00406808
1,0.00407789
1,0.00408768
1,0.00409745
1,0.00409524
1,0.00409901
1,0.00410876
1,0.0041125
1,0.00411624
1,0.00411997
1,0.00411771
1,0.00412144
1,0.00413114
1,0.00413484
1,0.00413853
1,0.00414222
1,0.0041459
1,0.00414359
1,0.00415324
1,0.0041569
1,0.00416653
1,0.00417016
1,0.00417378
1,0.00418338
1,0.00418698
1,0.00418458
1,0.00418818
1,0.00419176
1,0.00419534
1,0.00419892
1,0.00420248
1,0.00420604
1,0.00420959
1,0.00421313
1,0.00421667
1,0.0042202
1,0.00421774
1,0.00422127
1,0.00422479
1,0.0042283
1,0.00423181
1,0.00423531
1,0.00424478
1,0.00425424
1,0.00426367
1,0.00426711
1,0.00427054
1,0.00427396
1,0.00428335
1,0.00428675
1,0.00429014
1,0.00428754
1,0.00428495
1,0.00428834
1,0.00428575
1,0.00428316
1,0.00428655
1,0.00428994
1,0.00429332
1,0.00430268
1,0.00431202
1,0.00431536
1,0.00432467
1,0.00432799
1,0.00432531
1,0.00432863
1,0.00433193
1,0.00433523
1,0.00433254
1,0.00432986
1,0.00433316
1,0.00433646
1,0.00434573
1,0.004349
1,0.00435226
1,0.00435552
1,0.00436476
1,0.00436799
1,0.00436524
1,0.00436847
1,0.00437169
1,0.00437491
1,0.00437813
1,0.00438133
1,0.00438453
1,0.00438773
1,0.00438493
1,0.00439411
1,0.0043913
1,0.00439448
1,0.00439765
1,0.00440082
1,0.00440996
1,0.00441909
1,0.0044282
1,0.00443728
1,0.00444037
1,0.00444345
1,0.00444653
1,0.00444362
1,0.00444669
1,0.00444378
1,0.00444088
1,0.00444994
1,0.00445898
1,0.00446203
1,0.00447105
1,0.00447407
1,0.00448307
1,0.00448606
1,0.00449503
1,0.00449801
1,0.00450097
1,0.00450393
1,0.00450689
1,0.00450984
1,0.00451876
1,0.00452169
1,0.00452461
1,0.00452752
1,0.00453641
1,0.00453332
1,0.00453622
1,0.00453313
1,0.004542
1,0.00454488
1,0.00454177
1,0.00454465
1,0.00454753
1,0.00455039
1,0.00455924
1,0.00456208
1,0.00455894
1,0.00456178
1,0.00456462
1,0.00456148
1,0.0045703
1,0.00457312
1,0.00456996
1,0.00457278
1,0.00458158
1,0.00458438
1,0.00458717
1,0.00459594
1,0.00460469
1,0.00460745
1,0.00461019
1,0.00461294
1,0.00460969
1,0.00461244
1,0.00462116
1,0.00462986
1,0.00463256
1,0.00464124
1,0.00464392
1,0.00464061
1,0.0046433
1,0.00464597
1,0.00464864
1,0.00465131
1,0.00464799
1,0.00465664
1,0.0046533
1,0.00465596
1,0.00466459
1,0.00466125
1,0.00466389
1,0.00466652
1,0.00466317
1,0.00466581
1,0.00466844
1,0.00467106
1,0.00467368
1,0.0046763
1,0.00467891
1,0.00468151
1,0.0046901
1,0.00469268
1,0.00469526
1,0.00469783
1,0.0047004
1,0.00470296
1,0.00469953
1,0.0047021
1,0.00471064
1,0.00471318
1,0.00471572
1,0.00472423
1,0.00472674
1,0.00473523
1,0.00473773
1,0.00474021
1,0.0047427
1,0.00474517
1,0.00474765
1,0.00474413
1,0.00474661
1,0.00475506
1,0.00475751
1,0.00475398
1,0.00475643
1,0.00475888
1,0.00476731
1,0.00476974
1,0.00476618
1,0.00476861
1,0.00477104
1,0.00477944
1,0.00478184
1,0.00478424
1,0.00478664
1,0.00478902
1,0.00479141
1,0.00478781
1,0.0047902
1,0.00479258
1,0.00480094
1,0.00480928
1,0.00481761
1,0.00481993
1,0.00482226
1,0.00482457
1,0.00483287
1,0.00483517
1,0.00483746
1,0.00484573
1,0.004848
1,0.00485027
1,0.00485253
1,0.00485479
1,0.00485704
1,0.00485929
1,0.00486153
1,0.00485779
1,0.00486004
1,0.00486228
1,0.00486452
1,0.00486077
2,0.004869
2,0.0048772
2,0.00487941
2,0.00488161
2,0.00488381
2,0.00488601
2,0.00489418
2,0.00489037
2,0.00489256
2,0.00489473
2,0.00489691
2,0.00489908
2,0.00490124
2,0.0049034
2,0.00490556
2,0.00490771
2,0.00490986
2,0.00490602
2,0.00490817
2,0.0049163
2,0.00491843
2,0.00492055
2,0.00492268
2,0.00492479
2,0.00492691
2,0.00492303
2,0.00492515
2,0.00492726
2,0.00492339
2,0.00492551
2,0.00492762
2,0.00492973
2,0.00493183
2,0.00492795
2,0.00493006
2,0.00492618
2,0.00492829
2,0.00493637
2,0.00493846
2,0.00494055
2,0.00493665
2,0.00493874
2,0.00494681
2,0.0049429
2,0.00494497
2,0.00494705
2,0.00494313
2,0.00494521
2,0.0049413
2,0.00494936
2,0.00495143
2,0.00495349
2,0.00495554
2,0.00495759
2,0.00495964
2,0.00496169
2,0.00496373
2,0.00496576
2,0.00497377
2,0.00497579
2,0.0049778
2,0.00498579
2,0.00498778
2,0.00499575
2,0.00499772
2,0.00500567
2,0.00500762
2,0.00500957
2,0.00501151
2,0.00501345
2,0.00500941
2,0.00501135
2,0.00501329
2,0.00502121
2,0.00502313
2,0.00502505
2,0.00502696
2,0.00502887
2,0.00503077
2,0.00503267
2,0.00502859
2,0.00503648
2,0.00503837
2,0.00504025
2,0.00504214
2,0.00503803
2,0.00503992
2,0.0050418
2,0.00504966
2,0.00505153
2,0.00505339
2,0.00506122
2,0.00506306
2,0.0050649
2,0.00506075
2,0.00506259
2,0.00506443
2,0.00507225
2,0.00507407
2,0.00507588
2,0.00507769
2,0.0050795
2,0.0050813
2,0.00508909
2,0.00510283
2,0.00509263
2,0.0050944
2,0.00509618
2,0.00509197
2,0.00508777
2,0.00508955
2,0.00507937
2,0.0050752
2,0.00508897
2,0.00510272
2,0.00511644
2,0.00513013
2,0.00514978
2,0.00520528
2,0.00520683
2,0.00522034
2,0.00522784
2,0.00524131
2,0.00524878
2,0.00524426
2,0.00521583
2,0.00521736
2,0.00521889
2,0.00523237
2,0.00523985
2,0.00523536
2,0.00523685
2,0.00524432
2,0.00524579
2,0.00525325
2,0.00526068
2,0.00526213
2,0.00526356
2,0.005265
2,0.00526045
2,0.00526189
2,0.00526333
2,0.00527075
2,0.00527217
2,0.00527957
2,0.00528696
2,0.00528835
2,0.00528973
2,0.0052971
2,0.00529846
2,0.00530581
2,0.00532511
2,0.00531446
2,0.00532177
2,0.00532309
2,0.00532441
2,0.0053317
2,0.00533899
2,0.00534027
2,0.00533557
2,0.00531294
2,0.00530829
